Financial Year	Jurisdiction	Source Sector	Material Type	Material Name	Metric	Value	Unit
2022-2023	Australia	All	All	All	Circularity rate	4.4	%
2022-2023	Australia	All	All	All	Material footprint	31	tonnes per capita
2022-2023	Australia	All	All	All	Material productivity	2.04	$ per kg
2022-2023	Victoria	All	All	All	Material productivity	0.00	$ per kg
2022-2023	Victoria	All	All	All	Domestic Material Consumption (DMC)	156,796,400	tonnes
2022-2023	Victoria	All	All	All	Secondary Material Consumption (SMC)	11,786,000	tonnes
2022-2023	Victoria	All	All	All	Total Material Footprint (TMF)	189,744,700	tonnes
2022-2023	Victoria	All	All	All	Population	6,745,700	persons
2022-2023	Victoria	All	All	All	Gross State Product (GSP)	547.40	$bn
2023-2024	Australia	All	All	All	Circularity rate	4.4	%
2023-2024	Australia	All	All	All	Material footprint	31	tonnes per capita
2023-2024	Australia	All	All	All	Material productivity	2.04	$ per kg
2023-2024	Victoria	All	All	All	Material productivity	0.00	$ per kg
2023-2024	Victoria	All	All	All	Domestic Material Consumption (DMC)	156,796,400	tonnes
2023-2024	Victoria	All	All	All	Secondary Material Consumption (SMC)	11,786,000	tonnes
2023-2024	Victoria	All	All	All	Total Material Footprint (TMF)	189,744,700	tonnes
2023-2024	Victoria	All	All	All	Population	6,745,700	persons
2023-2024	Victoria	All	All	All	Gross State Product (GSP)	547.40	$bn
2023-2024	Victoria	All	Plastic	All	Realised market value	187.96	$m
2023-2024	Victoria	All	Plastic	All	Potential market value	534.18	$m
2023-2024	Victoria	All	Plastic	All	Commodity value	908.00	$ per tonne
2023-2024	Victoria	All	Glass	All	Realised market value	272.04	$m
2023-2024	Victoria	All	Glass	All	Potential market value	256.95	$m
2023-2024	Victoria	All	Glass	All	Commodity value	172.00	$ per tonne
2023-2024	Victoria	All	Metals	All	Realised market value	2,340.00	$m
2023-2024	Victoria	All	Metals	All	Potential market value	246.90	$m
2023-2024	Victoria	All	Metals	All	Commodity value	1,511.00	$ per tonne
2023-2024	Victoria	All	Textiles	All	Realised market value	66.85	$m
2023-2024	Victoria	All	Textiles	All	Potential market value	188.88	$m
2023-2024	Victoria	All	Textiles	All	Commodity value	912.00	$ per tonne
2023-2024	Victoria	All	Paper and cardboard	All	Realised market value	58.08	$m
2023-2024	Victoria	All	Paper and cardboard	All	Potential market value	32.55	$m
2023-2024	Victoria	All	Paper and cardboard	All	Commodity value	260.00	$ per tonne
2023-2024	Victoria	All	Aggregates, Masonry and soil	All	Realised market value	119.48	$m
2023-2024	Victoria	All	Aggregates, Masonry and soil	All	Potential market value	26.25	$m
2023-2024	Victoria	All	Aggregates, Masonry and soil	All	Commodity value	23.00	$ per tonne
2023-2024	Victoria	All	Organics	All	Realised market value	40.20	$m
2023-2024	Victoria	All	Organics	All	Potential market value	24.09	$m
2023-2024	Victoria	All	Organics	All	Commodity value	40.00	$ per tonne
2023-2024	Victoria	All	Tyres and rubber	All	Realised market value	9.86	$m
2023-2024	Victoria	All	Tyres and rubber	All	Potential market value	2.32	$m
2023-2024	Victoria	All	Tyres and rubber	All	Commodity value	166.00	$ per tonne
2015-2016	Victoria	All	All	All	Population	6,100,000	persons
2016-2017	Victoria	All	All	All	Population	6,250,000	persons
2017-2018	Victoria	All	All	All	Population	6,400,000	persons
2018-2019	Victoria	All	All	All	Population	6,500,000	persons
2019-2020	Victoria	All	All	All	Population	6,600,000	persons
2020-2021	Victoria	All	All	All	Population	6,580,000	persons
2021-2022	Victoria	All	All	All	Population	6,580,000	persons
2022-2023	Victoria	All	All	All	Population	6,700,000	persons
2023-2024	Victoria	All	All	All	Population	6,900,000	persons
2015-2016	Victoria	All	All	All	Gross State Product (GSP)	390.00	$bn
2016-2017	Victoria	All	All	All	Gross State Product (GSP)	420.00	$bn
2017-2018	Victoria	All	All	All	Gross State Product (GSP)	450.00	$bn
2018-2019	Victoria	All	All	All	Gross State Product (GSP)	470.00	$bn
2019-2020	Victoria	All	All	All	Gross State Product (GSP)	470.00	$bn
2020-2021	Victoria	All	All	All	Gross State Product (GSP)	480.00	$bn
2021-2022	Victoria	All	All	All	Gross State Product (GSP)	550.00	$bn
2022-2023	Victoria	All	All	All	Gross State Product (GSP)	590.00	$bn
2023-2024	Victoria	All	All	All	Gross State Product (GSP)	620.00	$bn