Financial Year	Material Type	Material Name	Source Sector	Disposal	International Export	Interstate Export	Processed locally (including Waste to Energy)	Total Generation
2015-2016	Aggregate, masonry and soils	Asphalt	CND	953	0	0	618,151	619,104
2015-2016	Aggregate, masonry and soils	Asphalt	CNI	2,966	0	0	0	2,966
2015-2016	Aggregate, masonry and soils	Asphalt	MSW	740	0	0	8,436	9,176
2015-2016	Aggregate, masonry and soils	Bricks	CND	26,942	0	0	424,778	451,720
2015-2016	Aggregate, masonry and soils	Bricks	CNI	25,397	0	0	0	25,397
2015-2016	Aggregate, masonry and soils	Bricks	MSW	48,597	0	0	2,000	50,597
2015-2016	Aggregate, masonry and soils	Concrete	CND	24,508	0	0	2,340,192	2,364,700
2015-2016	Aggregate, masonry and soils	Concrete	CNI	30,009	0	0	0	30,009
2015-2016	Aggregate, masonry and soils	Concrete	MSW	395	0	0	33,668	34,063
2015-2016	Aggregate, masonry and soils	Plaster	CND	14,567	0	0	36,163	50,730
2015-2016	Aggregate, masonry and soils	Plaster	CNI	20,948	0	0	82	21,030
2015-2016	Aggregate, masonry and soils	Plaster	MSW	4,382	0	0	623	5,005
2015-2016	Aggregate, masonry and soils	Rubble	CND	9,273	0	0	579,988	589,261
2015-2016	Aggregate, masonry and soils	Rubble	CNI	13,251	0	0	2,552	15,803
2015-2016	Aggregate, masonry and soils	Rubble	MSW	2,960	0	0	0	2,960
2015-2016	Aggregate, masonry and soils	Soil and natural materials	CND	690,902	0	0	88,460	779,362
2015-2016	Aggregate, masonry and soils	Soil and natural materials	CNI	100,786	0	0	10,937	111,723
2015-2016	Aggregate, masonry and soils	Soil and natural materials	MSW	15,425	0	0	800	16,225
2015-2016	Glass	Container glass	CND	641	4	0	519	1,164
2015-2016	Glass	Container glass	CNI	26,445	114	0	20,140	46,699
2015-2016	Glass	Container glass	MSW	38,785	3,047	0	161,095	202,927
2015-2016	Glass	Other glass	CND	3,127	0	0	0	3,127
2015-2016	Glass	Other glass	CNI	12,979	0	0	0	12,979
2015-2016	Glass	Other glass	MSW	38,406	0	0	0	38,406
2015-2016	Metals	Aluminium	CND	3,693	0	0	0	3,693
2015-2016	Metals	Aluminium	CNI	16,416	0	0	35,080	51,496
2015-2016	Metals	Aluminium	MSW	20,938	0	0	1,667	22,605
2015-2016	Metals	Ferrous	CND	15,816	27,397	0	88,786	131,999
2015-2016	Metals	Ferrous	CNI	53,355	132,568	0	174,649	360,572
2015-2016	Metals	Ferrous	MSW	35,171	84,982	0	126,016	246,169
2015-2016	Metals	Other metals	CND	0	620	0	20,333	20,953
2015-2016	Metals	Other metals	CNI	0	8,283	0	415,810	424,093
2015-2016	Metals	Other metals	MSW	0	1,279	0	28,602	29,881
2015-2016	Organics	Food organics	CND	2,853	0	0	0	2,853
2015-2016	Organics	Food organics	CNI	232,993	0	0	61,120	294,113
2015-2016	Organics	Food organics	MSW	636,275	0	0	4,852	641,127
2015-2016	Organics	Garden organics	CND	20,563	0	0	0	20,563
2015-2016	Organics	Garden organics	CNI	58,726	0	0	185,595	244,321
2015-2016	Organics	Garden organics	MSW	100,822	0	0	266,804	367,626
2015-2016	Organics	Other organics	CND	499	0	0	0	499
2015-2016	Organics	Other organics	CNI	28,989	0	0	82,941	111,930
2015-2016	Organics	Other organics	MSW	100,565	0	0	12,979	113,544
2015-2016	Organics	Wood /timber	CND	112,139	0	0	70,578	182,717
2015-2016	Organics	Wood /timber	CNI	226,463	0	0	109,854	336,316
2015-2016	Organics	Wood /timber	MSW	28,140	0	0	23,279	51,419
2015-2016	Paper and cardboard	Cardboard	CND	4,106	11,273	0	257	15,636
2015-2016	Paper and cardboard	Cardboard	CNI	75,534	202,905	0	514,548	792,986
2015-2016	Paper and cardboard	Cardboard	MSW	36,960	11,273	0	1,159	49,392
2015-2016	Paper and cardboard	Liquidpaperboard	CND	510	0	0	0	510
2015-2016	Paper and cardboard	Liquidpaperboard	CNI	27,284	0	0	0	27,284
2015-2016	Paper and cardboard	Liquidpaperboard	MSW	28,063	0	0	0	28,063
2015-2016	Paper and cardboard	Newsprint and magazines	CND	0	6,562	0	0	6,562
2015-2016	Paper and cardboard	Newsprint and magazines	CNI	0	91,862	0	30,186	122,048
2015-2016	Paper and cardboard	Newsprint and magazines	MSW	0	32,808	0	0	32,808
2015-2016	Paper and cardboard	Other paper	CND	1,555	44	0	0	1,599
2015-2016	Paper and cardboard	Other paper	CNI	81,452	220,504	0	11,074	313,031
2015-2016	Paper and cardboard	Other paper	MSW	126,279	115,367	0	127,137	368,783
2015-2016	Paper and cardboard	Printing and writing paper	CND	1,589	0	0	0	1,589
2015-2016	Paper and cardboard	Printing and writing paper	CNI	78,311	27,374	0	173,023	278,708
2015-2016	Paper and cardboard	Printing and writing paper	MSW	84,301	0	0	0	84,301
2015-2016	Plastic	HDPE (2)	CND	4,156	1,139	67	556	5,918
2015-2016	Plastic	HDPE (2)	CNI	51,922	6,871	439	2,635	61,868
2015-2016	Plastic	HDPE (2)	MSW	71,837	29,953	1,418	4,737	107,946
2015-2016	Plastic	LDPE (4)	CND	3,113	0	2	23	3,137
2015-2016	Plastic	LDPE (4)	CNI	38,887	14,716	363	317	54,283
2015-2016	Plastic	LDPE (4)	MSW	34,265	4,905	393	10,985	50,548
2015-2016	Plastic	Other plastics (7)	CND	2,228	0	0	0	2,228
2015-2016	Plastic	Other plastics (7)	CNI	29,175	1,668	20	540	31,403
2015-2016	Plastic	Other plastics (7)	MSW	84,718	37	0	228	84,983
2015-2016	Plastic	PET (1)	CND	1,722	0	0	0	1,722
2015-2016	Plastic	PET (1)	CNI	21,508	898	251	78	22,735
2015-2016	Plastic	PET (1)	MSW	47,937	29,038	2,890	1,552	81,417
2015-2016	Plastic	PP (5)	CND	3,339	0	0	0	3,339
2015-2016	Plastic	PP (5)	CNI	41,712	9,732	439	390	52,273
2015-2016	Plastic	PP (5)	MSW	36,753	4,760	516	6,859	48,888
2015-2016	Plastic	PS (6)	CND	869	724	38	115	1,746
2015-2016	Plastic	PS (6)	CNI	10,862	1,900	120	545	13,427
2015-2016	Plastic	PS (6)	MSW	9,571	3,166	189	410	13,336
2015-2016	Plastic	PVC (3)	CND	2,191	123	0	88	2,402
2015-2016	Plastic	PVC (3)	CNI	27,373	1,105	0	791	29,269
2015-2016	Plastic	PVC (3)	MSW	24,119	552	0	493	25,164
2015-2016	Textiles	Clothing	CND	3,520	0	0	0	3,520
2015-2016	Textiles	Clothing	CNI	36,452	0	0	0	36,452
2015-2016	Textiles	Clothing	MSW	62,598	49,810	0	0	112,408
2015-2016	Textiles	Other textiles	CND	6,275	0	0	6,250	12,525
2015-2016	Textiles	Other textiles	CNI	55,990	167	0	3,176	59,332
2015-2016	Textiles	Other textiles	MSW	20,498	2	0	15,319	35,819
2015-2016	Tyres and rubber	Offroad tyres	CND	0	0	0	10	10
2015-2016	Tyres and rubber	Offroad tyres	CNI	0	5,691	0	1,947	7,638
2015-2016	Tyres and rubber	Offroad tyres	MSW	0	0	0	56	56
2015-2016	Tyres and rubber	Other rubber	CND	170	0	0	6,250	6,420
2015-2016	Tyres and rubber	Other rubber	CNI	7,839	1,591	0	3,125	12,556
2015-2016	Tyres and rubber	Other rubber	MSW	2,459	193	0	15,000	17,652
2015-2016	Tyres and rubber	Passenger tyres	CND	122	0	0	250	372
2015-2016	Tyres and rubber	Passenger tyres	CNI	853	12,211	0	17,306	30,370
2015-2016	Tyres and rubber	Passenger tyres	MSW	0	2,536	0	1,324	3,860
2015-2016	Tyres and rubber	Truck tyres	CND	0	0	0	140	140
2015-2016	Tyres and rubber	Truck tyres	CNI	0	6	0	20,944	20,950
2015-2016	Tyres and rubber	Truck tyres	MSW	0	0	0	250	250
2016-2017	Aggregate, masonry and soils	Asphalt	CND	953	0	0	755,452	756,405
2016-2017	Aggregate, masonry and soils	Asphalt	CNI	2,966	0	0	0	2,966
2016-2017	Aggregate, masonry and soils	Asphalt	MSW	765	0	0	2,000	2,765
2016-2017	Aggregate, masonry and soils	Bricks	CND	26,948	0	0	584,157	611,105
2016-2017	Aggregate, masonry and soils	Bricks	CNI	25,403	0	0	0	25,403
2016-2017	Aggregate, masonry and soils	Bricks	MSW	50,271	0	0	2,000	52,271
2016-2017	Aggregate, masonry and soils	Concrete	CND	24,513	0	0	2,227,056	2,251,569
2016-2017	Aggregate, masonry and soils	Concrete	CNI	30,016	0	0	5,909	35,925
2016-2017	Aggregate, masonry and soils	Concrete	MSW	408	0	0	30,000	30,408
2016-2017	Aggregate, masonry and soils	Plaster	CND	14,571	0	0	33,750	48,321
2016-2017	Aggregate, masonry and soils	Plaster	CNI	20,953	0	0	774	21,727
2016-2017	Aggregate, masonry and soils	Plaster	MSW	4,533	0	0	0	4,533
2016-2017	Aggregate, masonry and soils	Rubble	CND	9,275	0	0	339,212	348,487
2016-2017	Aggregate, masonry and soils	Rubble	CNI	13,254	0	0	7,339	20,593
2016-2017	Aggregate, masonry and soils	Rubble	MSW	3,062	0	0	0	3,062
2016-2017	Aggregate, masonry and soils	Soil and natural materials	CND	691,062	0	0	76,889	767,951
2016-2017	Aggregate, masonry and soils	Soil and natural materials	CNI	100,810	0	0	14,588	115,398
2016-2017	Aggregate, masonry and soils	Soil and natural materials	MSW	15,957	0	0	800	16,757
2016-2017	Glass	Container glass	CND	641	4	0	0	645
2016-2017	Glass	Container glass	CNI	26,451	101	0	7,659	34,211
2016-2017	Glass	Container glass	MSW	40,121	2,712	0	134,895	177,728
2016-2017	Glass	Other glass	CND	3,127	0	0	0	3,127
2016-2017	Glass	Other glass	CNI	12,982	0	0	0	12,982
2016-2017	Glass	Other glass	MSW	39,729	0	0	0	39,729
2016-2017	Metals	Aluminium	CND	3,694	0	0	0	3,694
2016-2017	Metals	Aluminium	CNI	16,420	0	0	28,825	45,245
2016-2017	Metals	Aluminium	MSW	21,659	0	0	1,445	23,104
2016-2017	Metals	Ferrous	CND	15,819	34,895	0	92,500	143,214
2016-2017	Metals	Ferrous	CNI	53,368	168,846	0	235,388	457,601
2016-2017	Metals	Ferrous	MSW	36,383	108,238	0	285,190	429,811
2016-2017	Metals	Other metals	CND	0	514	0	7,312	7,826
2016-2017	Metals	Other metals	CNI	0	6,865	0	615,686	622,551
2016-2017	Metals	Other metals	MSW	0	1,060	0	8,566	9,626
2016-2017	Organics	Food organics	CND	2,853	0	0	0	2,853
2016-2017	Organics	Food organics	CNI	233,047	0	0	25,381	258,428
2016-2017	Organics	Food organics	MSW	658,193	0	0	7,555	665,748
2016-2017	Organics	Garden organics	CND	20,567	0	0	0	20,567
2016-2017	Organics	Garden organics	CNI	58,740	0	0	168,789	227,529
2016-2017	Organics	Garden organics	MSW	104,295	0	0	360,403	464,698
2016-2017	Organics	Other organics	CND	500	0	0	11,159	11,659
2016-2017	Organics	Other organics	CNI	28,996	0	0	62,212	91,208
2016-2017	Organics	Other organics	MSW	104,029	0	0	14,578	118,607
2016-2017	Organics	Wood /timber	CND	112,165	0	0	59,892	172,057
2016-2017	Organics	Wood /timber	CNI	226,515	0	0	148,489	375,004
2016-2017	Organics	Wood /timber	MSW	29,109	0	0	19,025	48,134
2016-2017	Paper and cardboard	Cardboard	CND	4,107	15,791	0	170	20,068
2016-2017	Paper and cardboard	Cardboard	CNI	75,551	284,236	0	484,931	844,718
2016-2017	Paper and cardboard	Cardboard	MSW	38,233	15,791	0	55	54,079
2016-2017	Paper and cardboard	Liquidpaperboard	CND	510	0	0	0	510
2016-2017	Paper and cardboard	Liquidpaperboard	CNI	27,291	0	0	0	27,291
2016-2017	Paper and cardboard	Liquidpaperboard	MSW	29,030	0	0	0	29,030
2016-2017	Paper and cardboard	Newsprint and magazines	CND	0	3,360	0	0	3,360
2016-2017	Paper and cardboard	Newsprint and magazines	CNI	0	47,037	0	129,023	176,060
2016-2017	Paper and cardboard	Newsprint and magazines	MSW	0	16,799	0	359	17,158
2016-2017	Paper and cardboard	Other paper	CND	1,555	34	0	2,649	4,239
2016-2017	Paper and cardboard	Other paper	CNI	81,471	174,101	0	24,579	280,151
2016-2017	Paper and cardboard	Other paper	MSW	130,629	91,089	0	118,886	340,604
2016-2017	Paper and cardboard	Printing and writing paper	CND	1,589	0	0	0	1,589
2016-2017	Paper and cardboard	Printing and writing paper	CNI	78,329	12,184	0	24,293	114,806
2016-2017	Paper and cardboard	Printing and writing paper	MSW	87,205	0	0	0	87,205
2016-2017	Plastic	HDPE (2)	CND	4,157	1,529	94	109	5,889
2016-2017	Plastic	HDPE (2)	CNI	51,934	6,475	629	3,902	62,941
2016-2017	Plastic	HDPE (2)	MSW	74,312	27,699	1,682	1,414	105,107
2016-2017	Plastic	LDPE (4)	CND	3,113	0	0	0	3,113
2016-2017	Plastic	LDPE (4)	CNI	38,896	15,379	1,110	25,789	81,173
2016-2017	Plastic	LDPE (4)	MSW	35,445	1,510	97	1,079	38,131
2016-2017	Plastic	Other plastics (7)	CND	2,229	0	0	0	2,229
2016-2017	Plastic	Other plastics (7)	CNI	29,182	1,713	30	4,928	35,853
2016-2017	Plastic	Other plastics (7)	MSW	87,636	38	0	847	88,521
2016-2017	Plastic	PET (1)	CND	1,722	0	0	0	1,722
2016-2017	Plastic	PET (1)	CNI	21,513	1,355	204	804	23,876
2016-2017	Plastic	PET (1)	MSW	49,588	21,953	2,083	227	73,850
2016-2017	Plastic	PP (5)	CND	3,340	0	0	0	3,340
2016-2017	Plastic	PP (5)	CNI	41,721	9,173	757	11,077	62,728
2016-2017	Plastic	PP (5)	MSW	38,019	4,486	240	1,972	44,717
2016-2017	Plastic	PS (6)	CND	870	630	23	191	1,715
2016-2017	Plastic	PS (6)	CNI	10,865	1,654	129	1,375	14,022
2016-2017	Plastic	PS (6)	MSW	9,901	2,757	155	482	13,295
2016-2017	Plastic	PVC (3)	CND	2,192	22	3	177	2,393
2016-2017	Plastic	PVC (3)	CNI	27,380	194	43	2,522	30,137
2016-2017	Plastic	PVC (3)	MSW	24,950	97	14	815	25,877
2016-2017	Textiles	Clothing	CND	3,521	0	0	0	3,521
2016-2017	Textiles	Clothing	CNI	36,461	0	0	0	36,461
2016-2017	Textiles	Clothing	MSW	64,754	53,750	0	0	118,504
2016-2017	Textiles	Other textiles	CND	6,276	0	0	0	6,276
2016-2017	Textiles	Other textiles	CNI	56,003	47	0	100	56,150
2016-2017	Textiles	Other textiles	MSW	21,204	1	0	583	21,787
2016-2017	Tyres and rubber	Offroad tyres	CND	0	0	0	0	0
2016-2017	Tyres and rubber	Offroad tyres	CNI	0	4,499	0	8,000	12,499
2016-2017	Tyres and rubber	Offroad tyres	MSW	0	0	0	4,745	4,745
2016-2017	Tyres and rubber	Other rubber	CND	170	0	0	0	170
2016-2017	Tyres and rubber	Other rubber	CNI	7,841	3,202	0	0	11,043
2016-2017	Tyres and rubber	Other rubber	MSW	2,544	387	0	0	2,931
2016-2017	Tyres and rubber	Passenger tyres	CND	122	0	0	0	122
2016-2017	Tyres and rubber	Passenger tyres	CNI	853	10,460	0	16,911	28,224
2016-2017	Tyres and rubber	Passenger tyres	MSW	0	2,172	0	1,894	4,066
2016-2017	Tyres and rubber	Truck tyres	CND	0	0	0	0	0
2016-2017	Tyres and rubber	Truck tyres	CNI	0	73	0	0	73
2016-2017	Tyres and rubber	Truck tyres	MSW	0	0	0	7,880	7,880
2017-2018	Aggregate, masonry and soils	Asphalt	CND	942	0	0	430,168	431,110
2017-2018	Aggregate, masonry and soils	Asphalt	CNI	3,630	0	0	9,036	12,666
2017-2018	Aggregate, masonry and soils	Asphalt	MSW	716	0	0	0	716
2017-2018	Aggregate, masonry and soils	Bricks	CND	26,636	0	0	797,160	823,796
2017-2018	Aggregate, masonry and soils	Bricks	CNI	31,088	0	0	0	31,088
2017-2018	Aggregate, masonry and soils	Bricks	MSW	47,019	0	0	250	47,269
2017-2018	Aggregate, masonry and soils	Concrete	CND	24,230	0	0	2,623,738	2,647,968
2017-2018	Aggregate, masonry and soils	Concrete	CNI	36,732	0	0	0	36,732
2017-2018	Aggregate, masonry and soils	Concrete	MSW	382	0	0	300	682
2017-2018	Aggregate, masonry and soils	Plaster	CND	14,402	0	0	0	14,402
2017-2018	Aggregate, masonry and soils	Plaster	CNI	25,642	0	0	35,983	61,625
2017-2018	Aggregate, masonry and soils	Plaster	MSW	4,240	0	0	0	4,240
2017-2018	Aggregate, masonry and soils	Rubble	CND	9,168	0	0	548,412	557,580
2017-2018	Aggregate, masonry and soils	Rubble	CNI	16,220	0	0	3,732	19,952
2017-2018	Aggregate, masonry and soils	Rubble	MSW	2,864	0	0	0	2,864
2017-2018	Aggregate, masonry and soils	Soil and natural materials	CND	683,070	0	0	1,046,785	1,729,855
2017-2018	Aggregate, masonry and soils	Soil and natural materials	CNI	123,369	0	0	11,635	135,004
2017-2018	Aggregate, masonry and soils	Soil and natural materials	MSW	14,925	0	0	10	14,935
2017-2018	Glass	Container glass	CND	634	16	0	0	649
2017-2018	Glass	Container glass	CNI	32,370	419	0	0	32,789
2017-2018	Glass	Container glass	MSW	37,526	11,186	0	218,376	267,088
2017-2018	Glass	Other glass	CND	3,091	0	0	0	3,091
2017-2018	Glass	Other glass	CNI	15,887	0	0	0	15,887
2017-2018	Glass	Other glass	MSW	37,159	0	0	0	37,159
2017-2018	Metals	Aluminium	CND	3,652	7,064	0	0	10,716
2017-2018	Metals	Aluminium	CNI	20,094	56,708	0	0	76,802
2017-2018	Metals	Aluminium	MSW	20,258	23,681	0	0	43,939
2017-2018	Metals	Ferrous	CND	15,636	42,135	0	102,955	160,727
2017-2018	Metals	Ferrous	CNI	65,310	203,879	0	225,280	494,469
2017-2018	Metals	Ferrous	MSW	34,029	130,696	0	221,810	386,535
2017-2018	Metals	Other metals	CND	0	1,910	0	8,643	10,553
2017-2018	Metals	Other metals	CNI	0	25,504	0	391,950	417,454
2017-2018	Metals	Other metals	MSW	0	3,938	0	15,795	19,733
2017-2018	Organics	Food organics	CND	2,820	0	0	0	2,820
2017-2018	Organics	Food organics	CNI	285,198	0	0	34,059	319,257
2017-2018	Organics	Food organics	MSW	615,618	0	0	3,604	619,222
2017-2018	Organics	Garden organics	CND	20,330	0	0	6,017	26,347
2017-2018	Organics	Garden organics	CNI	71,884	0	0	163,077	234,961
2017-2018	Organics	Garden organics	MSW	97,549	0	0	257,728	355,277
2017-2018	Organics	Other organics	CND	494	0	0	780	1,274
2017-2018	Organics	Other organics	CNI	35,484	0	0	128,447	163,931
2017-2018	Organics	Other organics	MSW	97,300	0	0	106,207	203,507
2017-2018	Organics	Wood /timber	CND	110,868	0	0	40,666	151,534
2017-2018	Organics	Wood /timber	CNI	277,204	0	0	131,051	408,255
2017-2018	Organics	Wood /timber	MSW	27,226	0	0	15,915	43,141
2017-2018	Paper and cardboard	Cardboard	CND	4,060	21,083	0	0	25,143
2017-2018	Paper and cardboard	Cardboard	CNI	92,458	379,501	0	438,998	910,957
2017-2018	Paper and cardboard	Cardboard	MSW	35,760	21,083	0	0	56,844
2017-2018	Paper and cardboard	Liquidpaperboard	CND	504	0	0	0	504
2017-2018	Paper and cardboard	Liquidpaperboard	CNI	33,398	0	0	2,569	35,967
2017-2018	Paper and cardboard	Liquidpaperboard	MSW	27,152	0	0	0	27,152
2017-2018	Paper and cardboard	Newsprint and magazines	CND	0	2,665	0	0	2,665
2017-2018	Paper and cardboard	Newsprint and magazines	CNI	0	37,314	0	87,247	124,561
2017-2018	Paper and cardboard	Newsprint and magazines	MSW	0	13,327	0	31,546	44,873
2017-2018	Paper and cardboard	Other paper	CND	1,537	18	0	0	1,556
2017-2018	Paper and cardboard	Other paper	CNI	99,702	92,851	0	779	193,332
2017-2018	Paper and cardboard	Other paper	MSW	122,179	48,579	0	27,158	197,916
2017-2018	Paper and cardboard	Printing and writing paper	CND	1,571	0	0	0	1,571
2017-2018	Paper and cardboard	Printing and writing paper	CNI	95,857	15,854	0	71,225	182,936
2017-2018	Paper and cardboard	Printing and writing paper	MSW	81,564	0	0	0	81,564
2017-2018	Plastic	HDPE (2)	CND	4,109	136	3	65	4,313
2017-2018	Plastic	HDPE (2)	CNI	63,556	4,492	106	2,044	70,198
2017-2018	Plastic	HDPE (2)	MSW	69,505	22,801	514	10,200	103,020
2017-2018	Plastic	LDPE (4)	CND	3,077	87	1	95	3,260
2017-2018	Plastic	LDPE (4)	CNI	47,601	11,208	92	14,436	73,337
2017-2018	Plastic	LDPE (4)	MSW	33,152	611	8	804	34,575
2017-2018	Plastic	Other plastics (7)	CND	2,203	167	0	128	2,498
2017-2018	Plastic	Other plastics (7)	CNI	35,712	4,108	30	3,321	43,171
2017-2018	Plastic	Other plastics (7)	MSW	81,967	0	0	0	81,967
2017-2018	Plastic	PET (1)	CND	1,702	0	0	0	1,702
2017-2018	Plastic	PET (1)	CNI	26,327	4,194	69	90	30,679
2017-2018	Plastic	PET (1)	MSW	46,380	23,256	386	768	70,790
2017-2018	Plastic	PP (5)	CND	3,301	0	0	0	3,301
2017-2018	Plastic	PP (5)	CNI	51,058	3,671	0	4,549	59,278
2017-2018	Plastic	PP (5)	MSW	35,560	6,850	0	8,433	50,843
2017-2018	Plastic	PS (6)	CND	860	659	16	337	1,872
2017-2018	Plastic	PS (6)	CNI	13,296	1,612	52	561	15,522
2017-2018	Plastic	PS (6)	MSW	9,260	2,125	107	621	12,113
2017-2018	Plastic	PVC (3)	CND	2,166	58	4	212	2,440
2017-2018	Plastic	PVC (3)	CNI	33,507	445	34	1,822	35,807
2017-2018	Plastic	PVC (3)	MSW	23,336	155	12	615	24,117
2017-2018	Textiles	Clothing	CND	3,480	0	0	0	3,480
2017-2018	Textiles	Clothing	CNI	44,620	0	0	0	44,620
2017-2018	Textiles	Clothing	MSW	60,566	55,662	0	0	116,228
2017-2018	Textiles	Other textiles	CND	6,203	0	0	0	6,203
2017-2018	Textiles	Other textiles	CNI	68,535	110	0	0	68,645
2017-2018	Textiles	Other textiles	MSW	19,832	2	0	0	19,834
2017-2018	Tyres and rubber	Offroad tyres	CND	0	0	0	0	0
2017-2018	Tyres and rubber	Offroad tyres	CNI	0	6,090	0	1,504	7,594
2017-2018	Tyres and rubber	Offroad tyres	MSW	0	0	0	0	0
2017-2018	Tyres and rubber	Other rubber	CND	168	0	0	0	168
2017-2018	Tyres and rubber	Other rubber	CNI	9,596	19,016	0	0	28,612
2017-2018	Tyres and rubber	Other rubber	MSW	2,379	2,301	0	0	4,680
2017-2018	Tyres and rubber	Passenger tyres	CND	121	0	0	0	121
2017-2018	Tyres and rubber	Passenger tyres	CNI	1,044	7,511	0	15,706	24,262
2017-2018	Tyres and rubber	Passenger tyres	MSW	0	1,560	0	9,379	10,939
2017-2018	Tyres and rubber	Truck tyres	CND	0	0	0	0	0
2017-2018	Tyres and rubber	Truck tyres	CNI	0	30	0	15,581	15,611
2017-2018	Tyres and rubber	Truck tyres	MSW	0	0	0	0	0
2018-2019	Aggregate, masonry and soils	Asphalt	CND	1,005	0	0	952,496	953,501
2018-2019	Aggregate, masonry and soils	Asphalt	CNI	3,873	0	0	761	4,634
2018-2019	Aggregate, masonry and soils	Asphalt	MSW	720	0	0	25,000	25,720
2018-2019	Aggregate, masonry and soils	Bricks	CND	28,420	0	0	804,600	833,020
