Financial Year	Material Type	Material Name	Source Sector	Disposal	International Export	Interstate Export	Processed locally (including Waste to Energy)	Total Generation
2021-2022	Aggregate, masonry and soils	Plaster	CND	16,074	0	0	32,641	48,715
2021-2022	Aggregate, masonry and soils	Plaster	CNI	28,619	0	0	0	28,619
2021-2022	Aggregate, masonry and soils	Plaster	MSW	4,184	0	0	0	4,184
2021-2022	Aggregate, masonry and soils	Rubble	CND	10,233	0	0	27,925	38,158
2021-2022	Aggregate, masonry and soils	Rubble	CNI	18,104	0	0	0	18,104
2021-2022	Aggregate, masonry and soils	Rubble	MSW	2,826	0	0	0	2,826
2021-2022	Aggregate, masonry and soils	Soil and natural materials	CND	762,391	0	0	1,492,265	2,254,656
2021-2022	Aggregate, masonry and soils	Soil and natural materials	CNI	137,695	0	0	221	137,916
2021-2022	Aggregate, masonry and soils	Soil and natural materials	MSW	14,728	0	0	39,000	53,728
2021-2022	Glass	Container glass	CND	707	0	0	7,861	8,568
2021-2022	Glass	Container glass	CNI	36,129	491	0	62,584	99,204
2021-2022	Glass	Container glass	MSW	37,030	1,146	0	144,185	182,361
2021-2022	Glass	Other glass	CND	3,450	0	0	500	3,950
2021-2022	Glass	Other glass	CNI	17,732	0	0	10,000	27,732
2021-2022	Glass	Other glass	MSW	36,669	0	0	0	36,669
2021-2022	Metals	Aluminium	CND	4,076	14,133	0	5,771	23,979
2021-2022	Metals	Aluminium	CNI	22,428	89,532	0	35,781	147,740
2021-2022	Metals	Aluminium	MSW	19,990	10,112	0	4,572	34,674
2021-2022	Metals	Ferrous	CND	17,452	24,144	0	25,171	66,767
2021-2022	Metals	Ferrous	CNI	72,894	286,035	0	299,076	658,006
2021-2022	Metals	Ferrous	MSW	33,580	159,818	0	170,809	364,207
2021-2022	Metals	Other metals	CND	0	417	0	3,007	3,424
2021-2022	Metals	Other metals	CNI	0	21,192	0	215,943	237,135
2021-2022	Metals	Other metals	MSW	0	1,115	0	10,359	11,474
2021-2022	Organics	Food organics	CND	3,148	0	0	0	3,148
2021-2022	Organics	Food organics	CNI	318,316	0	0	74,017	392,333
2021-2022	Organics	Food organics	MSW	447,531	0	0	124,392	571,922
2021-2022	Organics	Garden organics	CND	22,690	0	0	38	22,728
2021-2022	Organics	Garden organics	CNI	80,232	0	0	65,418	145,650
2021-2022	Organics	Garden organics	MSW	96,261	0	0	803,716	899,977
2021-2022	Organics	Other organics	CND	551	0	0	0	551
2021-2022	Organics	Other organics	CNI	39,605	0	0	146,413	186,018
2021-2022	Organics	Other organics	MSW	96,015	0	0	32,804	128,819
2021-2022	Organics	Wood /timber	CND	123,742	0	0	19,899	143,641
2021-2022	Organics	Wood /timber	CNI	309,394	0	0	118,426	427,820
2021-2022	Organics	Wood /timber	MSW	26,867	0	0	25,138	52,005
2021-2022	Paper and cardboard	Cardboard	CND	4,531	0	0	0	4,531
2021-2022	Paper and cardboard	Cardboard	CNI	103,195	142,418	0	409,519	655,131
2021-2022	Paper and cardboard	Cardboard	MSW	35,288	16	0	130	35,434
2021-2022	Paper and cardboard	Liquidpaperboard	CND	563	0	0	0	563
2021-2022	Paper and cardboard	Liquidpaperboard	CNI	37,276	0	0	0	37,276
2021-2022	Paper and cardboard	Liquidpaperboard	MSW	26,793	0	0	0	26,793
2021-2022	Paper and cardboard	Newsprint and magazines	CND	0	0	0	0	0
2021-2022	Paper and cardboard	Newsprint and magazines	CNI	0	2,296	0	4,155	6,451
2021-2022	Paper and cardboard	Newsprint and magazines	MSW	0	3,473	0	6,287	9,760
2021-2022	Paper and cardboard	Other paper	CND	1,716	0	0	0	1,716
2021-2022	Paper and cardboard	Other paper	CNI	111,280	15,700	0	23,801	150,782
2021-2022	Paper and cardboard	Other paper	MSW	120,566	112,231	0	170,131	402,927
2021-2022	Paper and cardboard	Printing and writing paper	CND	1,753	0	0	0	1,753
2021-2022	Paper and cardboard	Printing and writing paper	CNI	106,988	1	0	43,617	150,606
2021-2022	Paper and cardboard	Printing and writing paper	MSW	80,487	0	0	0	80,487
2021-2022	Plastic	HDPE (2)	CND	4,586	105	44	266	5,001
2021-2022	Plastic	HDPE (2)	CNI	70,937	1,655	716	4,204	77,511
2021-2022	Plastic	HDPE (2)	MSW	68,587	9,644	4,219	24,501	106,951
2021-2022	Plastic	LDPE (4)	CND	3,435	51	1	86	3,572
2021-2022	Plastic	LDPE (4)	CNI	53,128	17,691	424	30,086	101,329
2021-2022	Plastic	LDPE (4)	MSW	32,715	1,307	31	2,223	36,276
2021-2022	Plastic	Other plastics (7)	CND	2,459	0	102	19	2,580
2021-2022	Plastic	Other plastics (7)	CNI	39,859	0	480	7,173	47,513
2021-2022	Plastic	Other plastics (7)	MSW	80,885	0	17	3,042	83,944
2021-2022	Plastic	PET (1)	CND	1,900	19	0	22	1,941
2021-2022	Plastic	PET (1)	CNI	29,384	4,873	818	5,862	40,937
2021-2022	Plastic	PET (1)	MSW	45,768	15,688	2,640	18,871	82,967
2021-2022	Plastic	PP (5)	CND	3,684	3	5	136	3,827
2021-2022	Plastic	PP (5)	CNI	56,987	263	698	13,415	71,363
2021-2022	Plastic	PP (5)	MSW	35,090	184	488	9,412	45,175
2021-2022	Plastic	PS (6)	CND	959	106	75	1,594	2,734
2021-2022	Plastic	PS (6)	CNI	14,840	116	102	1,745	16,802
2021-2022	Plastic	PS (6)	MSW	9,138	71	62	1,064	10,334
2021-2022	Plastic	PVC (3)	CND	2,418	0	0	365	2,783
2021-2022	Plastic	PVC (3)	CNI	37,398	0	0	2,005	39,403
2021-2022	Plastic	PVC (3)	MSW	23,028	0	0	0	23,028
2021-2022	Textiles	Clothing	CND	3,884	0	0	0	3,884
2021-2022	Textiles	Clothing	CNI	49,801	0	0	178	49,979
2021-2022	Textiles	Clothing	MSW	59,766	56,122	0	129	116,017
2021-2022	Textiles	Other textiles	CND	6,924	0	0	0	6,924
2021-2022	Textiles	Other textiles	CNI	76,493	290	13	116	76,913
2021-2022	Textiles	Other textiles	MSW	19,570	0	0	1,674	21,244
2021-2022	Tyres and rubber	Offroad tyres	CND	0	0	0	0	0
2021-2022	Tyres and rubber	Offroad tyres	CNI	0	12,991	0	1,800	14,791
2021-2022	Tyres and rubber	Offroad tyres	MSW	0	0	0	0	0
2021-2022	Tyres and rubber	Other rubber	CND	188	0	0	0	188
2021-2022	Tyres and rubber	Other rubber	CNI	10,710	7,059	0	0	17,769
2021-2022	Tyres and rubber	Other rubber	MSW	2,348	784	0	0	3,132
2021-2022	Tyres and rubber	Passenger tyres	CND	135	0	0	0	135
2021-2022	Tyres and rubber	Passenger tyres	CNI	1,166	7,442	0	0	8,607
2021-2022	Tyres and rubber	Passenger tyres	MSW	0	1,860	0	1,000	2,860
2021-2022	Tyres and rubber	Truck tyres	CND	0	0	0	0	0
2021-2022	Tyres and rubber	Truck tyres	CNI	0	2,784	0	11,400	14,184
2021-2022	Tyres and rubber	Truck tyres	MSW	0	0	0	0	0
2022-2023	Aggregate, masonry and soils	Asphalt	CND	1,026	0	0	649,669	650,695
2022-2023	Aggregate, masonry and soils	Asphalt	CNI	3,954	0	0	169,470	173,424
2022-2023	Aggregate, masonry and soils	Asphalt	MSW	737	0	0	0	737
2022-2023	Aggregate, masonry and soils	Bricks	CND	29,012	0	0	969,073	998,085
2022-2023	Aggregate, masonry and soils	Bricks	CNI	33,860	0	0	1,198	35,058
2022-2023	Aggregate, masonry and soils	Bricks	MSW	48,416	0	0	0	48,416
2022-2023	Aggregate, masonry and soils	Concrete	CND	26,391	0	0	2,871,924	2,898,315
2022-2023	Aggregate, masonry and soils	Concrete	CNI	40,008	0	0	8,155	48,163
2022-2023	Aggregate, masonry and soils	Concrete	MSW	393	0	0	2,642	3,035
2022-2023	Aggregate, masonry and soils	Plaster	CND	15,687	0	0	32,641	48,328
2022-2023	Aggregate, masonry and soils	Plaster	CNI	27,929	0	0	403	28,332
2022-2023	Aggregate, masonry and soils	Plaster	MSW	4,366	0	0	0	4,366
2022-2023	Aggregate, masonry and soils	Rubble	CND	9,986	0	0	28,750	38,736
2022-2023	Aggregate, masonry and soils	Rubble	CNI	17,667	0	0	0	17,667
2022-2023	Aggregate, masonry and soils	Rubble	MSW	2,949	0	0	0	2,949
2022-2023	Aggregate, masonry and soils	Soil and natural materials	CND	743,990	0	0	987,709	1,731,699
2022-2023	Aggregate, masonry and soils	Soil and natural materials	CNI	134,371	0	0	1,417	135,788
2022-2023	Aggregate, masonry and soils	Soil and natural materials	MSW	15,368	0	0	16,200	31,568
2022-2023	Glass	Container glass	CND	690	0	0	7,861	8,551
2022-2023	Glass	Container glass	CNI	35,257	302	0	62,584	98,143
2022-2023	Glass	Container glass	MSW	38,641	706	0	150,185	189,532
2022-2023	Glass	Other glass	CND	3,367	0	0	200	3,567
2022-2023	Glass	Other glass	CNI	17,304	0	0	12,000	29,304
2022-2023	Glass	Other glass	MSW	38,264	0	0	0	38,264
2022-2023	Metals	Aluminium	CND	3,977	17,531	0	7,292	28,800
2022-2023	Metals	Aluminium	CNI	21,886	91,758	0	37,519	151,164
2022-2023	Metals	Aluminium	MSW	20,860	12,542	0	5,667	39,069
2022-2023	Metals	Ferrous	CND	17,031	16,063	0	21,172	54,266
2022-2023	Metals	Ferrous	CNI	71,135	223,736	0	296,444	591,315
2022-2023	Metals	Ferrous	MSW	35,041	122,665	0	165,902	323,607
2022-2023	Metals	Other metals	CND	0	647	0	3,890	4,537
2022-2023	Metals	Other metals	CNI	0	25,868	0	217,107	242,975
2022-2023	Metals	Other metals	MSW	0	1,415	0	10,667	12,082
2022-2023	Organics	Food organics	CND	3,072	0	0	0	3,072
2022-2023	Organics	Food organics	CNI	310,633	0	0	82,413	393,047
2022-2023	Organics	Food organics	MSW	467,000	0	0	149,611	616,611
2022-2023	Organics	Garden organics	CND	22,143	0	0	38	22,181
2022-2023	Organics	Garden organics	CNI	78,295	0	0	68,096	146,391
2022-2023	Organics	Garden organics	MSW	100,449	0	0	827,423	927,871
2022-2023	Organics	Other organics	CND	538	0	0	0	538
2022-2023	Organics	Other organics	CNI	38,649	0	0	159,090	197,739
2022-2023	Organics	Other organics	MSW	100,192	0	0	31,185	131,377
2022-2023	Organics	Wood /timber	CND	120,756	0	0	19,569	140,325
2022-2023	Organics	Wood /timber	CNI	301,927	0	0	114,818	416,744
2022-2023	Organics	Wood /timber	MSW	28,036	0	0	34,531	62,566
2022-2023	Paper and cardboard	Cardboard	CND	4,422	0	0	0	4,422
2022-2023	Paper and cardboard	Cardboard	CNI	100,704	124,720	0	420,678	646,103
2022-2023	Paper and cardboard	Cardboard	MSW	36,823	14	0	126	36,963
2022-2023	Paper and cardboard	Liquidpaperboard	CND	549	0	0	0	549
2022-2023	Paper and cardboard	Liquidpaperboard	CNI	36,376	0	0	0	36,376
2022-2023	Paper and cardboard	Liquidpaperboard	MSW	27,959	0	0	0	27,959
2022-2023	Paper and cardboard	Newsprint and magazines	CND	0	0	0	0	0
2022-2023	Paper and cardboard	Newsprint and magazines	CNI	0	1,938	0	4,155	6,093
2022-2023	Paper and cardboard	Newsprint and magazines	MSW	0	2,930	0	6,287	9,217
2022-2023	Paper and cardboard	Other paper	CND	1,675	0	0	0	1,675
2022-2023	Paper and cardboard	Other paper	CNI	108,594	16,799	0	23,801	149,194
2022-2023	Paper and cardboard	Other paper	MSW	125,811	120,096	0	170,152	416,059
2022-2023	Paper and cardboard	Printing and writing paper	CND	1,711	0	0	0	1,711
2022-2023	Paper and cardboard	Printing and writing paper	CNI	104,406	3	0	26,514	130,923
2022-2023	Paper and cardboard	Printing and writing paper	MSW	83,989	0	0	0	83,989
2022-2023	Plastic	HDPE (2)	CND	4,475	89	99	438	5,101
2022-2023	Plastic	HDPE (2)	CNI	69,224	1,111	926	3,829	75,090
2022-2023	Plastic	HDPE (2)	MSW	71,571	5,524	7,156	32,620	116,872
2022-2023	Plastic	LDPE (4)	CND	3,352	26	7	289	3,673
2022-2023	Plastic	LDPE (4)	CNI	51,846	11,621	498	11,159	75,124
2022-2023	Plastic	LDPE (4)	MSW	34,138	2,178	152	4,756	41,223
2022-2023	Plastic	Other plastics (7)	CND	2,400	0	97	64	2,560
2022-2023	Plastic	Other plastics (7)	CNI	38,897	0	7	2,155	41,059
2022-2023	Plastic	Other plastics (7)	MSW	84,404	0	1,396	10,420	96,220
2022-2023	Plastic	PET (1)	CND	1,854	0	0	0	1,854
2022-2023	Plastic	PET (1)	CNI	28,675	1,473	322	516	30,986
2022-2023	Plastic	PET (1)	MSW	47,759	8,348	6,589	32,328	95,024
2022-2023	Plastic	PP (5)	CND	3,595	0	4	23	3,622
2022-2023	Plastic	PP (5)	CNI	55,611	9	852	5,357	61,829
2022-2023	Plastic	PP (5)	MSW	36,617	9	3,122	19,649	59,397
2022-2023	Plastic	PS (6)	CND	936	133	85	1,313	2,467
2022-2023	Plastic	PS (6)	CNI	14,482	152	70	1,160	15,865
2022-2023	Plastic	PS (6)	MSW	9,536	181	50	710	10,476
2022-2023	Plastic	PVC (3)	CND	2,359	5	0	1,065	3,429
2022-2023	Plastic	PVC (3)	CNI	36,495	16	0	932	37,443
2022-2023	Plastic	PVC (3)	MSW	24,030	0	0	12	24,042
2022-2023	Textiles	Clothing	CND	3,791	0	0	0	3,791
2022-2023	Textiles	Clothing	CNI	48,599	0	0	323	48,922
2022-2023	Textiles	Clothing	MSW	62,366	64,051	0	118	126,535
2022-2023	Textiles	Other textiles	CND	6,757	0	0	0	6,757
2022-2023	Textiles	Other textiles	CNI	74,647	521	56	86	75,310
2022-2023	Textiles	Other textiles	MSW	20,422	0	0	1,602	22,024
2022-2023	Tyres and rubber	Offroad tyres	CND	0	0	0	0	0
2022-2023	Tyres and rubber	Offroad tyres	CNI	0	459	0	2,000	2,459
2022-2023	Tyres and rubber	Offroad tyres	MSW	0	0	0	0	0
2022-2023	Tyres and rubber	Other rubber	CND	184	0	0	0	184
2022-2023	Tyres and rubber	Other rubber	CNI	10,451	9,446	0	0	19,897
2022-2023	Tyres and rubber	Other rubber	MSW	2,450	1,050	0	0	3,500
2022-2023	Tyres and rubber	Passenger tyres	CND	132	0	0	0	132
2022-2023	Tyres and rubber	Passenger tyres	CNI	1,138	2,198	0	0	3,336
2022-2023	Tyres and rubber	Passenger tyres	MSW	0	550	0	1,200	1,750
2022-2023	Tyres and rubber	Truck tyres	CND	0	0	0	0	0
2022-2023	Tyres and rubber	Truck tyres	CNI	0	4,505	0	20,500	25,005
2022-2023	Tyres and rubber	Truck tyres	MSW	0	0	0	0	0
2023-2024	Aggregate, masonry and soils	Asphalt	CND	1019.155409	0	0	298,490	299509.1554
2023-2024	Aggregate, masonry and soils	Asphalt	CNI	3926.674912	0	0	141,681	145607.6749
2023-2024	Aggregate, masonry and soils	Asphalt	MSW	661.095825	0	0	0	661.095825
2023-2024	Aggregate, masonry and soils	Bricks	CND	28812.4499	0	0	917,996	946808.4499
2023-2024	Aggregate, masonry and soils	Bricks	CNI	33627.42665	0	0	970	34597.42665
2023-2024	Aggregate, masonry and soils	Bricks	MSW	43423.15836	0	0	0	43423.15836
2023-2024	Aggregate, masonry and soils	Concrete	CND	26209.25763	0	0	2,263,534	2289743.258
2023-2024	Aggregate, masonry and soils	Concrete	CNI	39733.32739	0	0	2,786	42519.32739
2023-2024	Aggregate, masonry and soils	Concrete	MSW	352.550659	0	0	118,545	118897.5507
2023-2024	Aggregate, masonry and soils	Plaster	CND	15578.65408	0	0	1,436	17014.65408
2023-2024	Aggregate, masonry and soils	Plaster	CNI	27736.46568	0	0	4,521	32257.46568
2023-2024	Aggregate, masonry and soils	Plaster	MSW	3915.770449	0	0	0	3915.770449
2023-2024	Aggregate, masonry and soils	Rubble	CND	9917.055768	0	0	0	9917.055768
2023-2024	Aggregate, masonry and soils	Rubble	CNI	17545.18586	0	0	1,385	18930.18586
2023-2024	Aggregate, masonry and soils	Rubble	MSW	2645.066705	0	0	0	2645.066705
2023-2024	Aggregate, masonry and soils	Soil and natural materials	CND	738874.0504	0	0	1,427,964	2166838.05
2023-2024	Aggregate, masonry and soils	Soil and natural materials	CNI	133447.3531	0	0	15,616	149063.3531
2023-2024	Aggregate, masonry and soils	Soil and natural materials	MSW	13783.34394	0	0	0	13783.34394
2023-2024	Glass	Container glass	CND	685.332791	0	0	3,246	3931.332791
2023-2024	Glass	Container glass	CNI	35014.40438	0	0	107,924	142938.4044
2023-2024	Glass	Container glass	MSW	34656.21205	0	0	100,672	135328.2121
2023-2024	Glass	Other glass	CND	3343.622728	0	0	0	3343.622728
2023-2024	Glass	Other glass	CNI	17184.97887	0	0	11,575	28759.97887
2023-2024	Glass	Other glass	MSW	34317.78344	0	0	0	34317.78344
2023-2024	Metals	Aluminium	CND	3949.842474	21258.39277	0	6,174	31382.23525
2023-2024	Metals	Aluminium	CNI	21735.73159	111270.4835	0	42,206	175212.2151
2023-2024	Metals	Aluminium	MSW	18708.71376	15208.97875	0	7,187	41104.69252
2023-2024	Metals	Ferrous	CND	16913.76092	20545.6367	0	71,760	109219.5376
2023-2024	Metals	Ferrous	CNI	70645.94035	286163.9764	0	325,602	682412.0968
2023-2024	Metals	Ferrous	MSW	31426.86201	156891.7549	0	203,035	391353.1569
2023-2024	Metals	Other metals	CND	0	540.269112	0	4,901	5441.269112
2023-2024	Metals	Other metals	CNI	0	21604.14893	0	244,301	265905.1489
2023-2024	Metals	Other metals	MSW	0	1181.976506	0	10,587	11768.97651
2023-2024	Organics	Food organics	CND	3050.620424	0	0	0	3050.620424
2023-2024	Organics	Food organics	CNI	308497.2673	0	0	72,320	380817.6673
2023-2024	Organics	Food organics	MSW	418837.4594	0	0	123,988	542825.3294
2023-2024	Organics	Garden organics	CND	21990.48617	0	0	11,272	33262.48617
2023-2024	Organics	Garden organics	CNI	77756.79384	0	0	72,270	150027.1938
2023-2024	Organics	Garden organics	MSW	90089.14116	0	0	754,501	844590.2712
2023-2024	Organics	Other organics	CND	534.071886	0	0	43,828	44362.07189
2023-2024	Organics	Other organics	CNI	38383.2849	0	0	272,006	310389.2849
2023-2024	Organics	Other organics	MSW	89859.24713	0	0	82,420	172279.2471
2023-2024	Organics	Wood /timber	CND	119925.3625	0	0	43,242	163167.8125
2023-2024	Organics	Wood /timber	CNI	299850.7283	0	0	105,441	405291.8783
2023-2024	Organics	Wood /timber	MSW	25144.25734	0	0	349	25493.70734
2023-2024	Paper and cardboard	Cardboard	CND	4391.417092	0	0	70	4461.507092
2023-2024	Paper and cardboard	Cardboard	CNI	100011.3702	173905.5708	0	161,802	435718.771
2023-2024	Paper and cardboard	Cardboard	MSW	33025.64809	19.016194	0	4,180	37225.15428
2023-2024	Paper and cardboard	Liquidpaperboard	CND	545.227414	0	0	0	545.227414
2023-2024	Paper and cardboard	Liquidpaperboard	CNI	36126.08269	0	0	332	36458.08269
2023-2024	Paper and cardboard	Liquidpaperboard	MSW	25075.4781	0	0	0	25075.4781
2023-2024	Paper and cardboard	Newsprint and magazines	CND	0	0	0	0	0
2023-2024	Paper and cardboard	Newsprint and magazines	CNI	0	1104.870331	0	6,748	7852.870331
2023-2024	Paper and cardboard	Newsprint and magazines	MSW	0	1671.129669	0	3	1674.129669
2023-2024	Paper and cardboard	Other paper	CND	1663.066522	0	0	0	1663.066522
2023-2024	Paper and cardboard	Other paper	CNI	107847.6742	15475.83935	0	70,754	194077.5136
2023-2024	Paper and cardboard	Other paper	MSW	112835.6165	110639.8967	0	415,059	638534.5132
2023-2024	Paper and cardboard	Printing and writing paper	CND	1699.311562	0	0	0	1699.311562
2023-2024	Paper and cardboard	Printing and writing paper	CNI	103688.2805	3357	0	39,768	146813.2805
2023-2024	Paper and cardboard	Printing and writing paper	MSW	75326.96067	0	0	0	75326.96067
2023-2024	Plastic	HDPE (2)	CND	4444.671688	46.415179	82.71554029	250	4824.182671
2023-2024	Plastic	HDPE (2)	CNI	68748.40605	580.91467	935.6938259	3,170	73435.12439
2023-2024	Plastic	HDPE (2)	MSW	64189.79114	2889.061152	7314.622103	35,259	109652.0036
2023-2024	Plastic	LDPE (4)	CND	3328.854527	29.405105	3.731918864	146	3508.262665
2023-2024	Plastic	LDPE (4)	CNI	51489.39198	13340.67739	513.3112837	23,958	89301.39872
2023-2024	Plastic	LDPE (4)	MSW	30617.08503	2500.112675	76.0419106	1,515	34707.958
2023-2024	Plastic	Other plastics (7)	CND	2383.185688	0	128.4440298	0	2511.629718
2023-2024	Plastic	Other plastics (7)	CNI	38629.69811	0	266.8526199	11,525	50421.28567
2023-2024	Plastic	Other plastics (7)	MSW	75698.99171	0	1125.29356	10,456	87280.18453
2023-2024	Plastic	PET (1)	CND	1841.098314	6.012045	0	21	1868.413314
2023-2024	Plastic	PET (1)	CNI	28477.37322	1383.035988	316.1723001	2,324	32500.13422
2023-2024	Plastic	PET (1)	MSW	42833.46721	3395.401957	6097.743588	42,983	95309.1342
2023-2024	Plastic	PP (5)	CND	3570.614912	0	0	0	3570.614912
2023-2024	Plastic	PP (5)	CNI	55228.84503	30.42	839.273752	7,201	63299.16241
2023-2024	Plastic	PP (5)	MSW	32840.67221	28.08	2503.030972	17,781	53152.87102
2023-2024	Plastic	PS (6)	CND	929.847633	46.242919	97.16420318	1,639	2712.439585
2023-2024	Plastic	PS (6)	CNI	14382.51173	52.84511	104.172059	1,339	15878.78557
2023-2024	Plastic	PS (6)	MSW	8552.258389	62.711971	54.18573823	714	9382.83546
2023-2024	Plastic	PVC (3)	CND	2343.216037	0	0	837	3180.568037
2023-2024	Plastic	PVC (3)	CNI	36243.92955	0	0	984	37227.95554
2023-2024	Plastic	PVC (3)	MSW	21551.69114	0	0	0	21551.69114
2023-2024	Textiles	Clothing	CND	3764.550284	0	0	0	3764.550284
2023-2024	Textiles	Clothing	CNI	48264.89389	0	0	353	48617.89389
2023-2024	Textiles	Clothing	MSW	55933.99189	70791.41781	0	198	126923.4097
2023-2024	Textiles	Other textiles	CND	6710.197089	0	0	2	6711.997089
2023-2024	Textiles	Other textiles	CNI	74133.91263	170.99791	100	328	74732.51054
2023-2024	Textiles	Other textiles	MSW	18315.71701	0	0	1,320	19635.51701
2023-2024	Tyres and rubber	Offroad tyres	CND	0	0	0	0	0
2023-2024	Tyres and rubber	Offroad tyres	CNI	0	135.25693	0	275	410.25693
2023-2024	Tyres and rubber	Offroad tyres	MSW	0	0	0	0	0
2023-2024	Tyres and rubber	Other rubber	CND	182.262044	0	0	0	182.262044
2023-2024	Tyres and rubber	Other rubber	CNI	10379.47068	29330.03076	0	0	39709.50145
2023-2024	Tyres and rubber	Other rubber	MSW	2197.477539	3258.892307	0	0	5456.369846
2023-2024	Tyres and rubber	Passenger tyres	CND	130.719718	0	0	0	130.719718
2023-2024	Tyres and rubber	Passenger tyres	CNI	1129.823659	15.04	0	0	1144.863659
2023-2024	Tyres and rubber	Passenger tyres	MSW	0	3.76	0	4,325	4328.76
2023-2024	Tyres and rubber	Truck tyres	CND	0	0	0	0	0
2023-2024	Tyres and rubber	Truck tyres	CNI	0	176.955	0	21,900	22076.955
2023-2024	Tyres and rubber	Truck tyres	MSW	0	0	0	0	0